camp_id,camp_name,current_location,website,needs_address,needs_sessions,session_count
"2d72a18d-7729-46ae-b62a-4095ddb206b9","Twist Gymnastics Summer Break Camp","2114 Dabney Road, Richmond, VA 23230","https://twistgymnastics.com/summer-break-camp",,YES,0
"9c1579df-7631-4c9a-ad84-3c740d7953ae","University of Richmond Summer Swim Clinic","410 Westhampton Way, Richmond, VA 23173","https://richmondspiderscamps.com/#camps",,YES,0
"1b282a9f-a13d-4daf-96e7-0cb4c8d51cb0","Unscripted Fun: Improv Comedy Camp","600 E Grace Street Suite 400, Richmond, VA","https://www.bridge9theater.com/camps",,YES,0
"3b6cf290-088f-46aa-90ac-13263161e7a4","Victoria's Kitchen Culinary Camps","1000 Blanton Ave, Richmond, VA 23221","https://www.victoriascookingschool.com/cookingclasses?category=d0705947-0dd4-4114-bcff-6a3dfd246903",,YES,0
"cb9e9ae9-5c24-411f-a6d1-12e34d6a02ee","Virginia Outside","4021 Forest Hill Ave, Richmond, VA 23225","https://www.virginiaoutside.com/richmond/",,YES,0
"c3c9d422-4df3-4677-986b-97e91d07df79","Visual Arts Center of Richmond Summer Camps","1812 West Main Street Richmond, VA, 23220","https://app.amilia.com/store/en/visual-arts-richmond/shop/programs/126250",,YES,0
"16dcf5f5-ad71-4934-8645-2075134426dc","VMFA Summer Camps","200 N. Arthur Ashe Boulevard, Richmond, VA 23220","https://www.vmfa.museum/summer-camps",YES,YES,0
"98ee7cb9-2bae-4ed5-ae71-4c344024d665","Weinstein JCC Summer Camp","5403 Monument Avenue, Richmond, VA 23226","https://weinsteinjcc.org/explore-our-programs/camps/",,YES,0
"72d9c37c-5704-427d-8641-0411b95718f8","YMCA of Greater Richmond Summer Camp","Multiple YMCA locations in Richmond, VA area","https://www.ymcarichmond.org/programs/camp/",YES,YES,0
"38f94d13-13c4-40cf-a3cd-ed032788a12d","Young Chefs Academy Richmond","11331 West Broad Street, Glen Allen, VA 23060","https://richmondva.youngchefsacademy.com/culinary-camps/#schedule",,YES,0
